trial_index,model,epoch,train_loss,val_threshold,val_precision,val_recall,val_f1,val_accuracy,val_balanced_accuracy,val_auc_roc,val_tpr_at_20_fpr,val_actual_fpr_at_selected_roc_point,val_roc_threshold_at_20_fpr
5,LSTM,5,0.5926609511158839,0.25,0.21746445419456997,0.97601421379923,0.35568025467396874,0.23733035286603865,0.5051073878328017,0.5348317853271285,0.2321587207580693,0.20007328691828508,0.42216917872428894
5,LSTM,6,0.5920048751844806,0.25,0.21753727658734076,0.9785312407462244,0.3559445267268076,0.23624461120868592,0.505327669963927,0.5358895543016988,0.23719277465205804,0.20011400187288791,0.4391941428184509
6,LSTM,1,0.5988061815263903,0.3,0.215889409198794,0.9965946106011253,0.35489823895391753,0.218560388324711,0.5005977938999112,0.5258696077315506,0.21868522357121706,0.19987785016286644,0.45530664920806885
6,LSTM,2,0.5934440231443568,0.25,0.21573012171357378,0.9998519395913533,0.3548887195522506,0.21597368589129462,0.5001295528575659,0.5276525178950536,0.22653242522949363,0.2,0.41881290078163147
6,LSTM,3,0.5922182959107589,0.3,0.2171984080381027,0.9857862007699141,0.35596663815226687,0.23063166634732069,0.5043751850755108,0.5341504376945403,0.23511992893100386,0.20012214983713356,0.4754425883293152
6,LSTM,4,0.5912464020401776,0.3,0.2192694474202578,0.9394432928634883,0.3555518197865008,0.26547231270358307,0.5097867930115487,0.5391207761789611,0.23985786200769915,0.20004071661237785,0.44190576672554016
6,LSTM,5,0.5903342017701142,0.3,0.22292228130235267,0.9062777613266213,0.3578276628083713,0.2983968831832407,0.5187537015102162,0.5456197811117359,0.2401539828249926,0.20004071661237785,0.44465893507003784
6,LSTM,6,0.5893850973723342,0.25,0.21792728107275172,0.9841575362748001,0.35683800832103074,0.23481509867790765,0.5064517323067812,0.5492746094967007,0.24933372816108973,0.2000814332247557,0.43424591422080994
7,LSTM,1,0.5993849687981967,0.05,0.21569316258423019,1.0,0.35484803110305513,0.21569316258423019,0.5,0.5117564238858993,0.2009179745336097,0.2001710167352091,0.435354083776474
7,LSTM,2,0.5926436491380429,0.3,0.22097183147511376,0.9419603198104827,0.3579687719791813,0.2711972663111168,0.5143451177618316,0.5418330550194745,0.23674859342611784,0.20008958019463333,0.47489139437675476
7,LSTM,3,0.5910017137572159,0.3,0.22194595780467294,0.8987266804856381,0.3559804122804445,0.2985980263788203,0.5161413035149393,0.5394469667921103,0.2354160497482973,0.20000814365405759,0.45019492506980896
7,LSTM,4,0.5901063235870092,0.25,0.2186626746506986,0.9732010660349423,0.35709241049600693,0.24414779803915307,0.5084255258917738,0.5448146193131711,0.2428190701806337,0.20000814365405759,0.4241636395454407
8,LSTM,1,0.5988545813144499,0.3,0.21587271097451657,0.998371335504886,0.35498815477757306,0.21742462953500255,0.5005090654232631,0.5259385642030279,0.2278649689073142,0.19985340825800146,0.4635050594806671
8,LSTM,2,0.5917298626194949,0.3,0.22297197093281923,0.8904352976014214,0.3566387949949594,0.3070388349514563,0.5185135197999777,0.5454449412428436,0.2438554930411608,0.20009772782799903,0.45625075697898865
8,LSTM,3,0.5903717244195698,0.3,0.2203923468152095,0.9431448030796565,0.3572930981293996,0.2681080735820133,0.512801328976916,0.5440549079475195,0.2405981640509328,0.19993484811466733,0.460574746131897
8,LSTM,4,0.5892505738145598,0.25,0.22016835016835018,0.9681670121409535,0.35875349755856695,0.2534491568727644,0.5125263760110257,0.5540405810923084,0.25954989635771397,0.20001628797133317,0.39613020420074463
8,LSTM,5,0.588322482954794,0.3,0.22496991342831632,0.858010068107788,0.35647279549718575,0.3317897291773122,0.5225387094346253,0.5475960766632414,0.2503701510216168,0.20001628797133317,0.4200111925601959
8,LSTM,6,0.5876183490488456,0.3,0.22471782440724186,0.8784424045010364,0.3578839425744963,0.3200689831374553,0.5224730957271857,0.5481077647055193,0.25051821143026354,0.19993484811466733,0.43795958161354065
9,LSTM,1,0.5986595937718221,0.3,0.21724580470133373,0.9862094395280236,0.3560578830357975,0.2276704454734153,0.5021326390629725,0.5212868806707414,0.2263274336283186,0.20002037905033626,0.4408252239227295
9,LSTM,2,0.5942964993183508,0.25,0.2173303014175819,0.9938053097345133,0.35666362301004406,0.22377454893820853,0.5023948089328772,0.5291338678175119,0.2357669616519174,0.19993886284899123,0.44269663095474243
9,LSTM,3,0.5928405699341296,0.25,0.22037368384832426,0.9446165191740413,0.35737403046704985,0.2644738942998563,0.5105699265933382,0.5307757377186164,0.23525073746312683,0.19997962094966373,0.42391011118888855
9,LSTM,4,0.5916796849816877,0.25,0.21728140646885516,0.9952802359882006,0.3566926116316255,0.22272074085901325,0.5022559728952619,0.5270676658112274,0.22728613569321535,0.19991848379865498,0.4481453001499176
9,LSTM,5,0.5908815509955719,0.25,0.21785383151422483,0.9876843657817109,0.356970561189813,0.22958646016286124,0.5038890547066288,0.5318311072677464,0.23753687315634217,0.2000407581006725,0.4611112177371979
10,LSTM,1,0.5963711085794121,0.05,0.21650060675736094,1.0,0.3559399897620329,0.21650060675736094,0.5,0.5216481148172872,0.22066524079946898,0.19994293749617886,0.4590906798839569
10,LSTM,2,0.5918190879938708,0.2,0.21670959793929892,0.9989674754775426,0.35615681943677524,0.2180494347576164,0.5006147980823691,0.5350375221975014,0.2343093148462276,0.2000244553587805,0.3888969421386719
